,Unnamed: 0,node1,node2,label,nb_common_labels,nb_common_genres,squared_popularity_diff,cn,pa,tn,minTriangles,maxTriangles,minCoefficient,maxCoefficient,sp,sl
2,4075,171,174,0,1.0,0.0,34,1.0,2.0,1.0,0,0,0.0,0.0,1.0,1.0
3,4696,1100,7517,0,0.0,7.0,4,1.0,310.0,95.0,0,110,0.0,0.025165865934568748,0.0,0.0
4,2234,810,7377,0,0.0,0.0,9,0.0,16.0,15.0,0,23,0.0,0.25274725274725274,0.0,0.0
0,1047,1649,4068,0,0.0,0.0,2,0.0,12.0,10.0,0,6,0.0,0.16666666666666666,0.0,0.0
1,575,2551,3918,0,0.0,1.0,22,0.0,45.0,13.0,2,7,0.2,0.25,0.0,0.0
2,4957,1904,7384,0,0.0,0.0,80,1.0,50.0,34.0,0,29,0.0,0.05169340463458111,0.0,0.0
3,1539,2733,3237,0,0.0,0.0,31,0.0,12.0,4.0,0,1,0.0,0.3333333333333333,0.0,0.0
4,2089,1965,5260,0,0.0,0.0,41,1.0,66.0,10.0,2,5,0.17857142857142858,0.6666666666666666,0.0,0.0
0,29,315,7901,0,0.0,2.0,28,1.0,175.0,21.0,6,7,0.058333333333333334,0.4,0.0,0.0
1,69,1731,5249,0,0.0,3.0,1,0.0,4.0,3.0,0,1,0.0,1.0,1.0,1.0
2,1618,528,7378,0,0.0,0.0,28,0.0,18.0,15.0,0,30,0.0,0.32967032967032966,0.0,0.0
3,619,323,2653,0,0.0,0.0,22,0.0,6.0,4.0,0,3,0.0,1.0,0.0,0.0
4,4763,2014,2307,0,0.0,0.0,5,0.0,12.0,11.0,0,22,0.0,0.4888888888888889,0.0,0.0
0,2357,1651,7617,0,0.0,1.0,13,0.0,26.0,21.0,0,18,0.0,0.09473684210526316,0.0,0.0
1,2049,2440,5308,0,0.0,0.0,9,0.0,40.0,20.0,1,86,0.5620915032679739,1.0,0.0,0.0
2,1653,2378,8562,0,0.0,0.0,2,0.0,12.0,8.0,1,15,1.0,1.0,0.0,0.0
3,2781,1537,1910,0,0.0,0.0,18,0.0,21.0,8.0,0,5,0.0,0.5,0.0,0.0
4,523,1649,4112,0,0.0,0.0,8,0.0,24.0,11.0,1,6,0.16666666666666666,1.0,0.0,0.0
0,4669,220,238,0,0.0,0.0,7,1.0,6.0,4.0,0,3,0.0,0.5,1.0,1.0
1,4031,2597,4855,0,0.0,0.0,19,0.0,45.0,10.0,2,4,0.2,0.4,0.0,0.0
2,1486,132,680,0,0.0,0.0,34,0.0,20.0,9.0,4,6,0.4,1.0,0.0,0.0
3,765,1985,7539,0,1.0,0.0,5,1.0,45.0,10.0,2,14,0.3333333333333333,0.6666666666666666,0.0,0.0
4,3860,2647,7747,0,2.0,4.0,3,1.0,96.0,17.0,1,18,0.17142857142857143,0.3333333333333333,1.0,0.0
0,978,692,226,0,0.0,0.0,5,0.0,7.0,8.0,0,19,0.0,0.9047619047619048,0.0,0.0
1,3608,2624,7075,0,0.0,0.0,2,0.0,68.0,47.0,0,40,0.0,0.03864734299516908,0.0,0.0
2,270,2716,7532,0,0.0,2.0,31,0.0,196.0,31.0,3,18,0.047619047619047616,1.0,0.0,0.0
3,4682,926,8283,0,0.0,0.0,2,0.0,4.0,5.0,0,1,0.0,0.16666666666666666,0.0,0.0
4,3461,1096,3756,0,0.0,0.0,51,1.0,42.0,11.0,0,10,0.0,0.18181818181818182,1.0,1.0
0,2539,561,497,0,1.0,0.0,38,1.0,3.0,2.0,0,1,0.0,1.0,1.0,1.0
1,1788,402,7970,0,0.0,4.0,10,0.0,20.0,7.0,1,1,0.16666666666666666,0.3333333333333333,0.0,0.0
2,4381,452,7745,0,0.0,0.0,88,0.0,86.0,38.0,1,27,0.04285714285714286,1.0,0.0,0.0
3,401,1379,8468,0,0.0,0.0,56,0.0,23.0,16.0,0,12,0.0,0.11428571428571428,0.0,0.0
4,193,499,248,0,0.0,0.0,10,0.0,2.0,3.0,0,1,0.0,1.0,0.0,0.0
0,3271,651,7267,0,0.0,3.0,14,0.0,270.0,36.0,17,25,0.06613756613756613,0.6071428571428571,0.0,0.0
1,2191,1165,4759,0,0.0,0.0,55,0.0,11.0,3.0,0,1,0.0,1.0,0.0,0.0
2,2276,2023,7851,0,0.0,0.0,58,0.0,504.0,62.0,0,273,0.0,0.15423728813559323,0.0,0.0
3,3823,1351,8572,0,0.0,0.0,30,0.0,5.0,6.0,0,3,0.0,0.3,0.0,0.0
4,2458,615,693,0,0.0,0.0,16,0.0,9.0,9.0,0,17,0.0,0.6071428571428571,0.0,0.0
0,3794,1176,3523,0,0.0,0.0,36,0.0,76.0,23.0,1,31,0.14761904761904762,1.0,0.0,0.0
1,2028,267,832,0,0.0,0.0,39,0.0,80.0,14.0,4,7,0.1111111111111111,0.7,0.0,0.0
2,3363,358,451,0,0.0,0.0,29,0.0,8.0,4.0,1,1,1.0,1.0,0.0,0.0
3,3780,667,589,0,0.0,0.0,36,0.0,24.0,10.0,3,12,0.5714285714285714,1.0,0.0,0.0
4,465,1156,7714,0,0.0,3.0,24,1.0,40.0,11.0,1,2,0.07142857142857142,0.16666666666666666,0.0,0.0
0,4540,2377,7445,0,0.0,0.0,25,0.0,12.0,7.0,0,3,0.0,0.3,0.0,0.0
1,4048,1110,7961,0,0.0,0.0,34,0.0,7.0,6.0,0,2,0.0,0.2,0.0,0.0
2,3129,204,2080,0,0.0,0.0,26,0.0,60.0,20.0,1,10,0.06535947712418301,1.0,0.0,0.0
3,730,2446,7617,0,0.0,0.0,39,0.0,52.0,22.0,1,18,0.09473684210526316,1.0,0.0,0.0
4,3951,434,1245,0,0.0,0.0,49,0.0,12.0,7.0,1,3,0.3,1.0,0.0,0.0
0,3193,1939,5394,0,0.0,0.0,40,0.0,30.0,9.0,3,5,0.3333333333333333,1.0,0.0,0.0
1,1403,2721,2399,0,0.0,0.0,44,0.0,36.0,25.0,0,47,0.0,0.17028985507246377,0.0,0.0
2,3004,196,226,0,0.0,0.0,3,0.0,9.0,9.0,0,20,0.0,0.7142857142857143,1.0,1.0
3,200,872,1324,0,0.0,0.0,19,0.0,1.0,2.0,0,0,0.0,0.0,0.0,0.0
4,466,229,1294,0,0.0,0.0,53,0.0,8.0,6.0,1,2,0.3333333333333333,1.0,0.0,0.0
0,1920,2314,2231,0,0.0,0.0,15,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0
1,120,1632,1988,0,0.0,0.0,14,0.0,8.0,6.0,0,2,0.0,0.3333333333333333,0.0,0.0
2,3899,2551,7957,0,0.0,0.0,31,0.0,36.0,10.0,1,7,0.25,1.0,0.0,0.0
3,4304,2608,7896,0,1.0,0.0,40,1.0,8.0,7.0,0,11,0.0,0.5238095238095238,1.0,0.0
4,3520,1031,4943,0,1.0,0.0,2,1.0,14.0,7.0,1,2,0.13333333333333333,1.0,0.0,0.0
0,1832,1770,8598,0,0.0,0.0,59,0.0,114.0,14.0,2,15,0.2727272727272727,0.6666666666666666,0.0,0.0
1,1784,88,2243,0,0.0,0.0,31,1.0,6.0,4.0,0,3,0.0,1.0,0.0,0.0
2,3182,1541,7406,0,0.0,0.0,49,0.0,90.0,53.0,0,45,0.0,0.033936651583710405,0.0,0.0
3,4755,1509,8480,0,0.0,0.0,18,0.0,12.0,8.0,0,12,0.0,0.8,0.0,0.0
4,2128,1488,8245,0,2.0,1.0,17,0.0,26.0,11.0,1,29,0.8055555555555556,1.0,0.0,0.0
0,2136,2378,7434,0,1.0,0.0,67,0.0,146.0,57.0,1,34,0.022895622895622896,1.0,0.0,0.0
1,2468,769,7343,0,0.0,0.0,4,0.0,2.0,3.0,0,1,0.0,1.0,0.0,0.0
2,3365,861,677,0,0.0,0.0,3,0.0,6.0,5.0,0,6,0.0,1.0,0.0,0.0
3,887,1984,3151,0,0.0,0.0,19,0.0,10.0,7.0,1,10,1.0,1.0,0.0,0.0
4,1014,2735,7921,0,0.0,0.0,79,0.0,124.0,18.0,2,12,0.11428571428571428,0.6666666666666666,0.0,0.0
0,992,1070,4857,0,0.0,0.0,21,0.0,102.0,5.0,0,1,0.0,0.16666666666666666,0.0,0.0
1,556,1559,8334,0,0.0,0.0,2,0.0,32.0,7.0,1,4,0.4,1.0,0.0,0.0
2,3750,2283,8565,0,0.0,0.0,28,0.0,19.0,19.0,0,69,0.0,0.45098039215686275,0.0,0.0
3,3581,1981,7154,0,0.0,0.0,20,0.0,1568.0,41.0,1,34,0.04588394062078273,1.0,0.0,0.0
4,3177,2713,8015,0,0.0,0.0,66,0.0,20.0,6.0,0,1,0.0,0.3333333333333333,0.0,0.0
0,1431,1327,7949,0,0.0,0.0,33,0.0,5.0,5.0,0,1,0.0,0.16666666666666666,0.0,0.0
1,937,2480,7917,0,0.0,0.0,8,0.0,8.0,6.0,1,2,0.3333333333333333,1.0,0.0,0.0
2,4929,1325,818,0,0.0,0.0,4,0.0,4.0,4.0,1,1,1.0,1.0,0.0,0.0
3,1524,2091,2231,0,0.0,0.0,20,0.0,2.0,2.0,0,0,0.0,0.0,0.0,0.0
4,1686,461,2566,0,0.0,0.0,4,0.0,1.0,2.0,0,0,0.0,0.0,0.0,0.0
0,1676,64,8601,0,0.0,0.0,8,0.0,16.0,11.0,0,10,0.0,0.2222222222222222,0.0,0.0
1,3368,1649,5727,0,0.0,0.0,32,0.0,108.0,13.0,6,6,0.16666666666666666,1.0,0.0,0.0
2,3367,2713,3519,0,0.0,5.0,2,0.0,16.0,7.0,1,1,0.16666666666666666,0.3333333333333333,0.0,0.0
3,2281,1809,7942,0,0.0,0.0,41,0.0,312.0,27.0,8,30,0.12987012987012986,0.8,0.0,0.0
4,2381,132,561,0,0.0,0.0,47,1.0,5.0,5.0,0,4,0.0,0.4,0.0,0.0
0,67,2362,8564,0,0.0,0.0,28,0.0,6.0,7.0,0,15,0.0,1.0,0.0,0.0
1,24,2064,8570,0,0.0,0.0,25,0.0,8.0,6.0,1,6,1.0,1.0,0.0,0.0
2,3025,1280,1269,0,1.0,0.0,2,1.0,4.0,3.0,1,1,1.0,1.0,0.0,0.0
3,2840,1162,1186,0,1.0,0.0,10,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0
4,1991,1350,5755,0,0.0,0.0,6,0.0,4.0,4.0,0,2,0.0,0.6666666666666666,0.0,0.0
0,2944,1381,5446,0,0.0,0.0,36,0.0,6.0,6.0,0,8,0.0,0.8,0.0,0.0
1,1180,2010,2961,0,0.0,0.0,1,0.0,3.0,4.0,0,3,0.0,1.0,0.0,0.0
2,932,2554,395,0,0.0,0.0,8,0.0,11.0,8.0,0,8,0.0,0.38095238095238093,0.0,0.0
3,4275,2580,7605,0,0.0,0.0,76,0.0,171.0,41.0,1,20,0.02844950213371266,0.3333333333333333,0.0,0.0
