artist_urn,artist_name,track_name,track_id,track_date,featuring_artist_urn,featuring_artist_name
3DCWeG2J1fZeu0Oe6i5Q6m,PLK,Chandon et Moët (feat. Heuss l'Enfoiré),4XEYHjp86yaGfZOGT8CqPV,2020-08-28,3YwqjMyrRfuixi2pbgTGCE,Heuss L'enfoiré
3DCWeG2J1fZeu0Oe6i5Q6m,PLK,Toutes générations (feat. Rim'K),7uKWxxcwpY4f5Tsy3fA6yR,2020-08-28,2eh8cEKZk4VeruUrGq748D,Rim'K
3DCWeG2J1fZeu0Oe6i5Q6m,PLK,Pilote (feat. Hamza),12GV2Wr4p1hBWQCrQcVsew,2020-08-28,5gs4Sm2WQUkcGeikMcVHbh,Hamza
2HPiMwJktBXqakN0hnON2R,Lous and The Yakuza,Laisse moi (feat. Hamza),7vNC9o1onqyp0PvypOZ4Yj,2020-08-10,5gs4Sm2WQUkcGeikMcVHbh,Hamza
4JO2lRTbLxpggWJLRm4DAo,Nerbo,Filtro,2mxWvOAd2Y1UKNKfR4ldiW,2020-07-25,07lFOGti4EQ5rMDMiyI2G9,Infrared
4JO2lRTbLxpggWJLRm4DAo,Nerbo,Smoking,7fl6xZHjR6fVuSMDcAeGEa,2020-07-25,3syTurNdzNvJBc7xElN9hP,Masiò
4JO2lRTbLxpggWJLRm4DAo,Nerbo,"Maryjane, Pt. 2",49Ipbm5jxbjoT8ZzgntW6h,2020-07-25,5QHMjqydYUtN2YCyExvsgH,Kreasy
4JO2lRTbLxpggWJLRm4DAo,Nerbo,Fumo,1apelG8jXloie8iIb2mHps,2020-07-25,3syTurNdzNvJBc7xElN9hP,Masiò
4JO2lRTbLxpggWJLRm4DAo,Nerbo,Svarione,69zHiPAQivYjnaI6Vki1Ua,2020-07-25,3LhlxAF9wpuXpa72ppeToo,Kefa
4JO2lRTbLxpggWJLRm4DAo,Nerbo,Cenere,7rtqpQS0vuv5RXoZfvoOyl,2020-07-25,1npPHxV8gbl3gWEYPoxQky,Dorian Black
4LXBc13z5EWsc5N32bLxfH,Nekfeu,Princesse,3Y8jUvCTo5L2j2N0li7tsb,2020-07-03,5f6nz3iqzrfiUfKOIKvLvd,Nemir
7CUFPNi1TU8RowpnFRSsZV,Niska,Médicament,6mvZEaWgI2PKE9cUBtk6Ue,2020-07-03,58wXmynHaAWI5hwlPZP3qL,Booba
0eZipjUat1rbp08ICpxU3S,Roman Kouder,Shame,5QwP1gmk6wYVzaIQCviich,2020-07-03,4qfO1uiJryvY1IFS5PYy85,Ana Zimmer
2dJTa3mUidZAO9sKcY72tK,Ben L'Oncle Soul,Next To You,4jOd5QOlgAGJLJnxcAPHpx,2020-07-03,3kHVioJpVxlazAAKQ64pC1,Yuna
29leSwIXuQmc0D8VkujVAB,313,Amour de jeunesse,1ebgkYXVMKKve6joeq9fmP,2020-07-03,2x25IlLO7rMnESx9TWY6Uc,Naïla
5AAzeysphag0NxJxLbbVla,Columbine,Cache-Cache,17zm1YzOhYl1lfxHYDXdlT,2020-07-03,1eTRyiHsWMoWKPD6s4Kiqt,Lujipeka
1mMUzAMrNqoTHgtxA0dZi6,Caballero & JeanJass,Bae,2M6GULIB8aoAC357fJxOH5,2020-07-03,5gs4Sm2WQUkcGeikMcVHbh,Hamza
5LJxxYDSr8p6hKli1zXAvP,CYPH3R,Six,7aPM3QBnLovLdMm0Yrbn4G,2020-06-26,5gs4Sm2WQUkcGeikMcVHbh,Hamza
4LXBc13z5EWsc5N32bLxfH,Nekfeu,Princesse,5yts8oTm07NpbtVLkk1e5P,2020-06-12,5f6nz3iqzrfiUfKOIKvLvd,Nemir
7CUFPNi1TU8RowpnFRSsZV,Niska,Médicament,7r4P7iua11GUYmO6kq6nOu,2020-06-12,58wXmynHaAWI5hwlPZP3qL,Booba
0eZipjUat1rbp08ICpxU3S,Roman Kouder,Shame,4zPnPAGZu1KPXQMjk8ajr4,2020-06-12,4qfO1uiJryvY1IFS5PYy85,Ana Zimmer
2dJTa3mUidZAO9sKcY72tK,Ben L'Oncle Soul,Next To You,5drLazzD4mD9RjTlYht2WM,2020-06-12,3kHVioJpVxlazAAKQ64pC1,Yuna
29leSwIXuQmc0D8VkujVAB,313,Amour de jeunesse,0r6Nx1EXHgW0t3IKXBFGKU,2020-06-12,2x25IlLO7rMnESx9TWY6Uc,Naïla
5AAzeysphag0NxJxLbbVla,Columbine,Cache-Cache,1FQhSmT0ldvRFtm06i8Geu,2020-06-12,1eTRyiHsWMoWKPD6s4Kiqt,Lujipeka
1mMUzAMrNqoTHgtxA0dZi6,Caballero & JeanJass,Bae,7itwisxCZDxeOFlF6xoOFl,2020-06-12,5gs4Sm2WQUkcGeikMcVHbh,Hamza
0e6qzpphJHtObTSwD75mi0,The Avener,Beautiful,2srzrhBdRsdAjBhG3snzXQ,2020-06-05,0CjWKoS55T7DOt0HJuwF1H,Bipolar Sunshine
5mmEMfYChd6MImBagU7zCs,Bigflo & Oli,Demain - Bigflo & Oli X Petit Biscuit,1cDa0LSy6Nr48frRL8i1vw,2020-06-05,6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit
3QVolfxko2UyCOtexhVTli,Angèle,Tout oublier,5n0MUxoKb9S1xZfmBw0mCb,2020-06-05,2pHk4wAmL7ofTAuvCIUWtv,Roméo Elvis
1EnscKRqKyq19bQ2bl642c,Aslove,Dancing,0GAjWZDRCAag0oNcGRWJkD,2020-06-05,2WI5ej8T97eMhlhbQoMozP,Dalvin
